communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
鼓楼东区,北京市密云区康复路鼓楼东区,18,密云区,110118,2012,1004,216481.01,4.03,0.2,无,10,1122,15,26474, ,住宅,116.8425619,40.37654732
城子二斜井小区,北京市门头沟区七棵树西大街城子二斜井小区,9,门头沟区,110109,1995, ,50956,1.5,0.8,北京京煤集团开发有限公司,30,432,7,38290, ,住宅,116.0848285,39.94692537
明发雅苑,北京市大兴区纪百户街18号明发雅苑,14,大兴区,110115,2014,880,175697.53,2.39,2.86,北京明发集团,30,468,5,40033, ,住宅,116.3207001,39.68517939
新中西街小区,北京市东城区新中西街小区,3,东城区,110101,1987, ,51650.96,2.6,0,无,35,976,9,88948, ,住宅,116.4321695,39.93084503
富力飞常HAOS,北京市大兴区团结路19号富力飞常HAOS,14,大兴区,110115,2016, ,59055,1.97,4,北京富源盛达房地产开发有限公司,30,434,6,46607,商住房,高档公寓,116.3092714,39.629458
惠民家园一区,北京市门头沟区增产路7号惠民家园一区,9,门头沟区,110109,2009,287,38490.39,1.3,0.68,北京昊泰房地产开发有限公司,30,752,10,39487, ,住宅,116.0886885,39.94132278
南马道小区,北京市怀柔区迎宾路南马道小区,15,怀柔区,110116,2004,84,12944.02,3.5,0,无, ,94,3,33073, ,住宅,116.6293906,40.31295831
海户屯小区,北京市丰台区海户路海户屯小区,6,丰台区,110106,1995, ,155420.66,3,0.8,中建一局集团房地产开发有限公司,20,1070,15,61333, ,住宅,116.3916347,39.8495836
横一条甲18号院,北京市丰台区横一条甲18号院,6,丰台区,110106,2010,68,61628.88,2.9,0.65,无,41,702,4,49400, ,住宅,116.4278382,39.85097173
龙泽苑西区,北京市昌平区回龙观西大街98号龙泽苑西区,13,昌平区,110114,2000,1272,249042.8,1.67,0.68,北京天鸿嘉诚房地产开发有限公司,45,1999,36,50315, ,住宅,116.3153718,40.07155194
